card_id,name,price,num_printings,reprinted,in_structure_deck,num_distinct_rarities,top_rarity_tier,has_premium_rarity,tcg_date,tcg_age_years,tcg_native,in_ocg,ocg_age_years,card_class,race,attribute,level,atk,def_,has_archetype,archetype,ban_tcg,ban_ocg,views,upvotes,downvotes,log_price
80181649,"""A Case for K9""",0.2,2,True,False,2,5,True,2025-07-31,1.0157426420260096,True,True,1.374401095140315,Spell,Continuous,None,,,,True,K9,Limited,Unlimited,409402,0,0,-1.6094379124341003
34541863,"""A"" Cell Breeding Device",0.21,1,False,False,1,0,False,2007-05-16,19.225188227241617,True,True,19.471594798083505,Spell,Continuous,None,,,,True,Alien,Unlimited,Unlimited,343342,118,110,-1.5606477482646683
64163367,"""A"" Cell Incubator",0.25,1,False,False,1,0,False,2007-11-14,18.72689938398357,True,True,19.044490075290895,Spell,Continuous,None,,,,True,Alien,Unlimited,Unlimited,240770,25,20,-1.3862943611198906
91231901,"""A"" Cell Recombination Device",0.18,1,False,False,1,0,False,2016-11-03,9.754962354551678,True,True,10.075290896646132,Spell,Quick-Play,None,,,,True,Alien,Unlimited,Unlimited,248445,19,15,-1.7147984280919266
73262676,"""A"" Cell Scatter Burst",0.18,1,False,False,1,0,False,2007-02-28,19.43600273785079,True,True,19.720739219712527,Spell,Quick-Play,None,,,,True,Alien,Unlimited,Unlimited,194068,12,4,-1.7147984280919266
98319530,"""Infernoble Arms - Almace""",0.81,2,True,False,2,4,True,2023-07-27,3.028062970568104,True,True,3.2908966461327855,Spell,Equip,None,,,,True,Infernoble Arms,Unlimited,Unlimited,94455,0,0,-0.21072103131565253
37478723,"""Infernoble Arms - Durendal""",0.2,3,True,False,3,3,False,2020-08-06,5.9986310746064335,True,True,6.299794661190965,Spell,Equip,None,,,,True,Noble Knight,Unlimited,Unlimited,603339,10,12,-1.6094379124341003
64867422,"""Infernoble Arms - Hauteclere""",0.11,2,True,False,2,2,False,2020-08-06,5.9986310746064335,True,True,6.299794661190965,Spell,Equip,None,,,,True,Noble Knight,Unlimited,Unlimited,101537,3,4,-2.2072749131897207
90861137,"""Infernoble Arms - Joyeuse""",0.18,2,True,False,1,2,False,2020-08-06,5.9986310746064335,True,True,6.299794661190965,Spell,Equip,None,,,,True,Noble Knight,Unlimited,Unlimited,144675,3,5,-1.7147984280919266
44256816,1st Movement Solo,0.5,4,True,False,2,4,True,2014-11-06,11.748117727583846,True,True,12.049281314168377,Spell,Normal,None,,,,True,Melodious,Unlimited,Unlimited,372710,14,5,-0.6931471805599453
86988864,3-Hump Lacooda,0.17,2,True,False,1,0,False,2004-06-01,22.17932922655715,True,True,22.442162902121833,Monster,Beast,EARTH,3.0,500.0,1500.0,False,,Unlimited,Unlimited,222776,23,10,-1.7719568419318752
83994646,4-Starred Ladybug of Doom,0.06,6,True,False,1,0,False,2002-10-20,23.794661190965094,True,True,25.642710472279262,Monster,Insect,WIND,3.0,800.0,1200.0,False,,Unlimited,Unlimited,548266,19,9,-2.8134107167600364
67048711,7,0.73,2,True,False,2,0,False,2004-06-01,22.17932922655715,True,True,22.442162902121833,Spell,Continuous,None,,,,False,,Unlimited,Unlimited,79906,12,3,-0.31471074483970024
23771716,7 Colored Fish,0.2,7,True,True,1,0,False,2002-06-26,24.112251882272417,True,True,26.524298425735797,Monster,Fish,WATER,4.0,1800.0,800.0,False,,Unlimited,Unlimited,513613,26,6,-1.6094379124341003
86198326,7 Completed,0.1,7,True,False,3,1,False,2002-10-20,23.794661190965094,True,True,25.853524982888434,Spell,Equip,None,,,,False,,Unlimited,Unlimited,325840,10,4,-2.3025850929940455
14261867,8-Claws Scorpion,0.14,2,True,False,1,0,False,2003-07-18,23.052703627652292,True,True,24.37782340862423,Monster,Insect,DARK,2.0,300.0,200.0,False,,Unlimited,Unlimited,195284,12,10,-1.9661128563728327
4731783,"A Bao A Qu, the Lightless Shadow",21.85,2,True,False,2,4,True,2025-01-23,1.5331964407939767,True,True,1.7768651608487338,Monster,Fiend,DARK,,2800.0,,False,,Unlimited,Unlimited,445696,0,0,3.084200921541599
24140059,A Cat of Ill Omen,2.19,3,True,False,1,0,False,2003-07-18,23.052703627652292,True,True,24.22450376454483,Monster,Beast,DARK,2.0,500.0,300.0,False,,Unlimited,Unlimited,325079,16,2,0.7839015438284094
6850209,A Deal with Dark Ruler,0.28,4,True,False,2,1,False,2003-12-01,22.680355920602327,True,True,23.707049965776864,Spell,Quick-Play,None,,,,True,Archfiend,Unlimited,Unlimited,198173,8,8,-1.2729656758128873
49140998,A Feather of the Phoenix,0.48,7,True,False,4,5,True,2005-02-26,21.440109514031484,True,True,21.694729637234772,Spell,Normal,None,,,,False,,Unlimited,Unlimited,222664,15,7,-0.7339691750802004
68170903,A Feint Plan,0.12,2,True,False,1,0,False,2003-06-06,23.16769336071184,True,True,24.876112251882272,Trap,Normal,None,,,,False,,Unlimited,Unlimited,164373,30,8,-2.120263536200091
21597117,A Hero Emerges,0.12,9,True,False,3,1,False,2004-03-01,22.431211498973305,True,True,23.055441478439427,Trap,Normal,None,,,,False,,Unlimited,Unlimited,266321,11,9,-2.120263536200091
8949584,A Hero Lives,0.11,17,True,True,8,5,True,2011-08-06,15.000684462696784,True,True,15.403148528405202,Spell,Normal,None,,,,True,Elemental HERO,Unlimited,Unlimited,882956,13,12,-2.2072749131897207
295517,A Legendary Ocean,0.13,13,True,True,2,3,False,2003-06-06,23.16769336071184,True,True,24.684462696783026,Spell,Field,None,,,,True,Umi,Unlimited,Unlimited,509826,27,8,-2.0402208285265546
32207100,A Major Upset,0.12,3,True,False,2,0,False,2009-09-01,16.928131416837783,True,True,17.300479123887747,Trap,Normal,None,,,,False,,Unlimited,Unlimited,64508,5,1,-2.120263536200091
51351302,A Man with Wdjat,0.17,2,True,False,1,0,False,2003-07-18,23.052703627652292,True,True,24.22450376454483,Monster,Spellcaster,DARK,4.0,1600.0,1600.0,False,,Unlimited,Unlimited,154153,5,5,-1.7719568419318752
5728014,A Rival Appears!,0.16,2,True,False,1,0,False,2005-08-06,20.999315537303218,True,True,21.196440793976727,Trap,Normal,None,,,,False,,Unlimited,Unlimited,101783,10,4,-1.8325814637483102
44553392,"A Shattered, Colorless Realm",0.1,2,True,False,1,0,False,2023-05-04,3.2580424366872007,True,True,3.5592060232717317,Trap,Normal,None,,,,False,,Unlimited,Unlimited,13590,0,0,-2.3025850929940455
23587624,A Wild Monster Appears!,0.16,3,True,False,2,4,True,2015-01-15,11.5564681724846,True,True,11.723477070499658,Spell,Normal,None,,,,False,,Unlimited,Unlimited,62728,14,3,-1.8325814637483102
28596933,A Wingbeat of Giant Dragon,0.1,7,True,True,1,0,False,2003-06-06,23.16769336071184,True,True,24.876112251882272,Spell,Normal,None,,,,False,,Unlimited,Unlimited,314664,10,4,-2.3025850929940455
30012506,A-Assault Core,0.48,2,True,True,2,4,True,2016-10-20,9.793292265571527,True,True,10.132785763175907,Monster,Machine,LIGHT,4.0,1900.0,200.0,True,ABC,Unlimited,Unlimited,338882,12,6,-0.7339691750802004
13026402,A-Team: Trap Disposal Unit,0.14,3,True,False,2,5,True,2004-11-20,21.70841889117043,True,True,22.001368925393567,Monster,Machine,FIRE,2.0,300.0,400.0,False,,Unlimited,Unlimited,78648,5,1,-1.9661128563728327
75926389,A-to-Z Energy Load,0.19,2,True,False,2,4,True,2025-03-13,1.3990417522245038,True,True,2.198494182067077,Trap,Normal,None,,,,True,A-to-Z,Unlimited,Unlimited,14823,0,0,-1.6607312068216509
65172015,A-to-Z-Dragon Buster Cannon,0.82,1,False,True,1,3,False,2016-10-20,9.793292265571527,True,True,10.132785763175907,Monster,Machine,LIGHT,10.0,4000.0,4000.0,True,ABC,Unlimited,Unlimited,217679,57,36,-0.19845093872383832
28645123,A.I. Challenge You,0.15,1,False,False,1,0,False,2021-06-03,5.174537987679671,True,True,5.552361396303901,Trap,Continuous,None,,,,True,A.I.,Unlimited,Unlimited,28148,1,0,-1.8971199848858813
79015062,A.I. Connect,0.14,1,False,False,1,2,False,2025-05-01,1.264887063655031,True,True,1.5277207392197125,Spell,Normal,None,,,,True,A.I.,Unlimited,Unlimited,41329,0,0,-1.9661128563728327
10493654,A.I. Contact,0.12,2,True,False,2,3,False,2020-04-30,6.26694045174538,True,True,6.568104038329911,Spell,Normal,None,,,,True,@Ignister,Unlimited,Unlimited,69402,3,2,-2.120263536200091
59332125,A.I. Love Fusion,0.08,2,True,False,2,1,False,2020-01-30,6.5160848733744015,True,True,6.8172484599589325,Spell,Normal,None,,,,True,@Ignister,Unlimited,Unlimited,86706,5,3,-2.5257286443082556
6552971,A.I. Meet You,0.19,2,True,False,2,3,False,2021-06-03,5.174537987679671,True,True,5.552361396303901,Spell,Normal,None,,,,True,A.I.,Unlimited,Unlimited,176550,1,2,-1.6607312068216509
77421977,A.I. Shadow,0.08,2,True,False,1,0,False,2020-01-30,6.5160848733744015,True,True,6.8172484599589325,Trap,Continuous,None,,,,True,@Ignister,Unlimited,Unlimited,44911,3,0,-2.5257286443082556
